"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 30571337505.4435 40693418704.189 19910666922.8276 23882856213.5978 32500605183.0716 12559380545.936 11201689035.2618 22446579859.2543
"2" 20257972213.7797 31536303264.7142 9910760034.66981 19748879128.3911 32309936031.6296 9846560403.92685 3580879978.11175 20987546001.789
"3" 10141094503.1071 28184031648.2052 6256529557.94001 12065103251.8088 28126027526.413 12205227636.7297 3464239937.80143 15460919449.8767
"4" 5706971995.3406 18961694445.533 12338683475.2689 7131761282.07977 25268564115.4806 11498636662.7669 1669054905.19364 11163388378.4151
"5" 2375742196.65285 12410310700.8498 3249571002.76335 4626950852.73491 19592717479.1808 14877640480.9651 478256160.619054 9052815226.04553
"6" 1647648884.78412 6014560035.4043 3406936945.0777 3131488947.04093 6284721340.31781 13945044980.4899 1241303159.02243 4553264348.5282
"7" 2905632431.29471 5778708418.99737 6230825392.85743 3402515589.57975 4264296387.72968 14639537557.4205 2858294885.04581 4138211261.59431
"8" 6266344100.02066 8915324857.40727 10646888971.9505 5529160966.01547 6950730405.0905 12041970209.093 4397497425.92721 7830390749.97091
"9" 11232464684.8926 15156372075.1093 7988220500.4641 8142240638.736 13315619380.7048 13666831636.6168 3825557333.51271 19327468212.879
"10" 8394257175.69479 20507827731.5877 7227341974.02255 9973442037.6688 18724578112.7691 7565243425.15993 2209560270.12576 23291935230.4387
"11" 15340313456.652 28037856892.261 5301344073.53138 15417109052.1119 23245256011.0948 5923101196.73849 2701845381.2826 20515754595.8113
"12" 23576743644.5236 36235280921.8387 10415133947.6527 17360009595.2331 32090056264.4643 6955678056.87943 5240248071.76063 28956568883.5093
